"Año","Campeon","Subcampeón","Máximo.goleador","Goles","Cant..Equipos"
"2012 (I)","Universidad de Chile ","O'Higgins","Emanuel Herrera (Unión Española) Enzo Gutiérrez (O'Higgins) Sebastián Ubilla (Santiago Wanderers)",11,18
"2012 (II)","Huachipato ","Unión Española","Sebastián Sáez (Audax Italiano)",13,18
"2013","Unión Española ","Universidad Católica","Javier Elizondo (Dep. Antofagasta) Sebastián Sáez (Audax Italiano)",14,18
"2013 (I)","O'Higgins ","Universidad Católica","Luciano Vázquez (Ñublense)",11,18
"2014 (II)","Colo-Colo ","Universidad Católica","Esteban Paredes (Colo-Colo)",16,18
"2014 (I)","Universidad de Chile ","Santiago Wanderers","Esteban Paredes (Colo-Colo)",12,18
"2015 (II)","Cobresal ","Colo-Colo","Esteban Paredes (Colo-Colo) Jean Paul Pineda (Unión La Calera)",11,18
"2015 (I)","Colo-Colo ","Universidad Católica","Marcos Riquelme (Palestino)",11,16
"2016 (II)","Universidad Católica ","Colo-Colo","Nicolás Castillo (Universidad Católica)",11,16
"2016 (I)","Universidad Católica ","Iquique","Nicolás Castillo (Universidad Católica)",13,16
"2017 (II)","Universidad de Chile ","Colo-Colo","Felipe Mora (Universidad de Chile)",13,16
"2017","Colo-Colo ","Unión Española","Bryan Carrasco (Audax Italiano)",10,16
"2018","Universidad Católica ","Universidad de Concepción","Esteban Paredes (Colo-Colo)",19,16
"2019","Universidad Católica ","Colo-Colo","Lucas Passerini (Palestino)",14,16
"2020","Universidad Católica ","Unión La Calera","Fernando Zampedri (Universidad Católica)",20,18
"2021","Universidad Católica ","Colo-Colo","Gonzalo Sosa (Deportes Melipilla) Fernando Zampedri (Universidad Católica)",23,17
"2022","Colo-Colo ","Ñublense","Fernando Zampedri (Universidad Católica)",18,16
"2023","Huachipato ","Cobresal","Fernando Zampedri (Universidad Católica)",17,16
"2024","Colo-Colo ","Universidad de Chile","Fernando Zampedri (Universidad Católica)",19,16
"2025","Coquimbo Unido ","Universidad Católica","Fernando Zampedri (Universidad Católica)",16,16
